Protocol,Port,Domain,URL,Resolved,Request Status,Title,Category,Default Creds,Screenshot Path, Source Path
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.config,3.174.59.48,Successful,"ERROR: The request could not be satisfied",None,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.config.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..config.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.env,3.174.59.48,Successful,"ERROR: The request could not be satisfied",None,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.env.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..env.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.htaccess,3.174.59.48,Successful,"403 Forbidden",unauth,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.htaccess.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..htaccess.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.hta,3.174.59.48,Successful,"403 Forbidden",unauth,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.hta.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..hta.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.htpasswd,3.174.59.48,Successful,"403 Forbidden",unauth,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.htpasswd.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..htpasswd.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.htaccess.php,3.174.59.48,Successful,"403 Forbidden",unauth,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.htaccess.php.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..htaccess.php.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.hta.php,3.174.59.48,Successful,"403 Forbidden",unauth,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.hta.php.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..hta.php.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.htpasswd.php,3.174.59.48,Successful,"403 Forbidden",unauth,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.htpasswd.php.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..htpasswd.php.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.hta.html,3.174.59.16,Successful,"403 Forbidden",unauth,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.hta.html.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..hta.html.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.hta.txt,3.174.59.27,Successful,"403 Forbidden",unauth,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.hta.txt.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..hta.txt.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.htaccess.html,3.174.59.27,Successful,"403 Forbidden",unauth,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.htaccess.html.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..htaccess.html.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.htaccess.txt,3.174.59.27,Successful,"403 Forbidden",unauth,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.htaccess.txt.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..htaccess.txt.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.htpasswd.html,3.174.59.27,Successful,"403 Forbidden",unauth,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.htpasswd.html.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..htpasswd.html.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.htaccess.json,3.174.59.27,Successful,"403 Forbidden",unauth,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.htaccess.json.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..htaccess.json.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.htpasswd.txt,3.174.59.27,Successful,"403 Forbidden",unauth,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.htpasswd.txt.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..htpasswd.txt.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.hta.json,3.174.59.27,Successful,"403 Forbidden",unauth,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.hta.json.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..hta.json.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.hta.xml,3.174.59.27,Successful,"403 Forbidden",unauth,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.hta.xml.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..hta.xml.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.hta.js,3.174.59.27,Successful,"403 Forbidden",unauth,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.hta.js.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..hta.js.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.htaccess.xml,3.174.59.27,Successful,"403 Forbidden",unauth,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.htaccess.xml.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..htaccess.xml.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.htpasswd.json,3.174.59.27,Successful,"403 Forbidden",unauth,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.htpasswd.json.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..htpasswd.json.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.htaccess.js,3.174.59.27,Successful,"403 Forbidden",unauth,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.htaccess.js.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..htaccess.js.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.htpasswd.xml,3.174.59.27,Successful,"403 Forbidden",unauth,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.htpasswd.xml.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..htpasswd.xml.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.htaccess.css,3.174.59.27,Successful,"403 Forbidden",unauth,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.htaccess.css.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..htaccess.css.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.perf,3.174.59.27,Successful,"PERFUCOR SRL – Ministerio de Desarrollo Social y Promoción del Empleo",None,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.perf.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..perf.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.hta.css,3.174.59.27,Successful,"403 Forbidden",unauth,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.hta.css.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..hta.css.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.htpasswd.js,3.174.59.27,Successful,"403 Forbidden",unauth,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.htpasswd.js.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..htpasswd.js.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.history,3.174.59.27,Successful,"Página no encontrada – Ministerio de Desarrollo Social y Promoción del Empleo",None,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.history.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..history.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.htpasswd.css,3.174.59.27,Successful,"403 Forbidden",unauth,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.htpasswd.css.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..htpasswd.css.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.git/index,3.174.59.27,Successful,"Página no encontrada – Ministerio de Desarrollo Social y Promoción del Empleo",None,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.git_index.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..git.index.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.profile,3.174.59.27,Successful,"Página no encontrada – Ministerio de Desarrollo Social y Promoción del Empleo",None,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.profile.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..profile.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.git_release,3.174.59.27,Successful,"Página no encontrada – Ministerio de Desarrollo Social y Promoción del Empleo",None,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.git_release.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..git_release.txt
https,443,desarrolloyempleo.cba.gov.ar,https://desarrolloyempleo.cba.gov.ar/.svn,3.174.59.27,Successful,"Página no encontrada – Ministerio de Desarrollo Social y Promoción del Empleo",None,"None",C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\screens\desarrolloyempleo.cba.gov.ar_.svn.png,C:\Sec\Pentests\DesarrolloEmpleo-ar\reports\eyewitness_dirsearch_report2\source\https.desarrolloyempleo.cba.gov.ar..svn.txt
